developer,sentiment_analysis
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,0
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,0
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,0
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,0
Valve,0
Valve,0
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,0
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,0
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,0
Valve,1
Valve,2
Valve,0
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,0
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,0
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,0
Valve,0
Valve,2
Valve,0
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,0
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,0
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,0
Valve,0
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,0
Valve,0
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,0
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,0
Valve,0
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,0
Valve,0
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,0
Valve,0
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,0
Valve,0
Valve,2
Valve,1
Valve,1
Valve,0
Valve,0
Valve,0
Valve,0
Valve,0
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,0
Valve,0
Valve,0
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,0
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,0
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,0
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,0
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,0
Valve,2
Valve,0
Valve,0
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,0
Valve,0
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,0
Valve,1
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,0
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,1
Valve,1
Valve,0
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,0
Valve,2
Valve,0
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,0
Valve,0
Valve,1
Valve,2
Valve,0
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,0
Valve,1
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,0
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,0
Valve,1
Valve,0
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,0
Valve,0
Valve,1
Valve,1
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,0
Valve,1
Valve,1
Valve,1
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,1
Valve,1
Valve,0
Valve,2
Valve,0
